                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.98339,                 1.5789,                 1.1593,                0.74405,                0.87028,                0.82968,                0.72236,                0.49543,                0.64616,                0.87622,               0.070141,              0.0033177,              0.0033177
                      1,                0.88984,                 0.9499,                  1.069,                0.66657,                0.82569,                0.76348,                0.64445,                0.57438,                0.68926,                 0.8885,               0.040075,              0.0065852,              0.0065852
                      2,                0.96159,                0.95631,                 1.0873,                0.67377,                0.81617,                0.74196,                 0.6134,                0.65021,                 0.6992,                0.95016,              0.0099432,              0.0097867,              0.0097867
                      3,                 1.0386,                 1.0401,                 1.1271,                0.59023,                0.73546,                0.72791,                0.57566,                0.73912,                0.84567,                 1.0231,               0.009703,               0.009703,               0.009703
                      4,                 1.0404,                 1.0427,                 1.1409,                0.60993,                0.79549,                0.72433,                0.56385,                0.79514,                0.82582,                 1.0412,               0.009703,               0.009703,               0.009703
                      5,                 1.0167,                0.99695,                 1.1281,                0.74099,                0.86098,                0.79268,                0.63864,                0.66333,                0.76822,                0.96899,               0.009604,               0.009604,               0.009604
                      6,                 1.0159,                0.97612,                 1.1301,                0.69184,                0.84533,                0.76911,                0.63732,                0.68017,                0.70504,                 0.9778,               0.009505,               0.009505,               0.009505
                      7,                 0.9959,                0.95484,                 1.1201,                0.64822,                0.84656,                0.77067,                0.64047,                0.65185,                0.66678,                0.95483,               0.009406,               0.009406,               0.009406
                      8,                0.97423,                0.92084,                 1.1085,                0.70158,                0.83301,                0.76587,                0.63669,                0.63464,                0.68838,                 0.9392,               0.009307,               0.009307,               0.009307
                      9,                0.96175,                0.90657,                 1.0974,                0.64111,                0.84216,                0.76217,                0.63503,                0.64304,                0.66774,                0.95527,               0.009208,               0.009208,               0.009208
                     10,                0.94302,                0.87506,                   1.09,                0.65522,                0.89406,                0.75662,                0.64812,                0.60023,                0.66819,                0.93001,               0.009109,               0.009109,               0.009109
                     11,                0.93183,                0.86217,                 1.0871,                 0.7213,                0.86285,                0.79143,                 0.6646,                0.63428,                0.67164,                0.94827,                0.00901,                0.00901,                0.00901
                     12,                0.93948,                0.84742,                 1.0849,                0.69108,                0.88204,                0.76345,                0.64922,                0.61407,                0.63409,                0.93194,               0.008911,               0.008911,               0.008911
                     13,                0.91482,                0.83557,                 1.0735,                 0.6935,                0.87127,                0.76882,                0.65036,                0.62916,                0.65878,                0.95137,               0.008812,               0.008812,               0.008812
