                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95383,                 1.8992,                 1.1729,                0.50279,                0.77195,                0.59747,                0.46911,                0.74231,                 1.1545,                0.99726,                0.07016,              0.0033155,              0.0033155
                      1,                0.84803,                 1.2348,                 1.0684,                0.52849,                0.80018,                0.65199,                 0.5062,                0.74888,                 0.9645,                 1.0048,               0.040095,               0.006583,               0.006583
                      2,                0.90289,                 1.2359,                  1.097,                0.44631,                0.74983,                0.57716,                0.42529,                 0.9051,                 1.2088,                 1.1253,              0.0099628,              0.0097845,              0.0097845
                      3,                0.99047,                 1.3369,                 1.1535,                0.52444,                0.70492,                0.57832,                0.43435,                0.89109,                 1.2522,                 1.1197,               0.009703,               0.009703,               0.009703
                      4,                0.96868,                 1.2828,                 1.1437,                0.51603,                0.71007,                 0.6199,                0.45768,                0.91391,                 1.2268,                 1.1438,               0.009703,               0.009703,               0.009703
                      5,                0.95473,                 1.2415,                 1.1307,                0.60799,                0.72244,                0.67018,                0.51272,                0.82478,                 1.0151,                 1.0809,               0.009604,               0.009604,               0.009604
                      6,                0.92434,                 1.2016,                 1.1185,                 0.6209,                0.79598,                0.73604,                0.58135,                0.79414,                0.89498,                 1.0439,               0.009505,               0.009505,               0.009505
                      7,                0.90936,                 1.1454,                 1.1068,                0.67134,                0.79561,                0.78833,                0.61204,                0.80859,                0.89845,                 1.0519,               0.009406,               0.009406,               0.009406
                      8,                0.89772,                 1.0789,                 1.1027,                0.60234,                0.71864,                0.70847,                0.55107,                0.86588,                 1.0245,                 1.0887,               0.009307,               0.009307,               0.009307
                      9,                0.87634,                 1.0432,                 1.0893,                0.65789,                0.75715,                0.75301,                0.59409,                0.81463,                0.91289,                  1.064,               0.009208,               0.009208,               0.009208
                     10,                0.85388,                0.99952,                 1.0754,                0.55323,                0.68822,                0.64254,                0.50859,                0.85483,                 1.1369,                 1.1141,               0.009109,               0.009109,               0.009109
                     11,                0.85775,                0.98605,                 1.0856,                0.60022,                0.78502,                0.73751,                0.59339,                0.78236,                 1.0158,                 1.0536,                0.00901,                0.00901,                0.00901
                     12,                0.84834,                0.96272,                 1.0794,                0.68129,                0.71325,                0.74723,                0.60986,                0.77674,                 0.9828,                 1.0526,               0.008911,               0.008911,               0.008911
                     13,                0.83364,                0.92934,                 1.0694,                0.64211,                0.77748,                0.79896,                0.65126,                0.73955,                0.86943,                 1.0133,               0.008812,               0.008812,               0.008812
                     14,                0.81537,                0.89617,                 1.0582,                0.69245,                0.78248,                0.79154,                0.64767,                0.73806,                0.84554,                  1.018,               0.008713,               0.008713,               0.008713
