                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.98059,                 1.5877,                 1.1703,                0.86058,                0.88419,                 0.9315,                0.74238,                0.75322,                0.63598,                 1.0047,                0.07037,              0.0032922,              0.0032922
                      1,                0.87097,                0.76561,                 1.0698,                0.87743,                0.89983,                0.94357,                0.74559,                0.76462,                0.59406,                 1.0093,               0.040305,              0.0065599,              0.0065599
                      2,                0.90299,                0.76909,                  1.072,                 0.8455,                 0.8121,                0.88266,                 0.6426,                0.98935,                0.86536,                 1.1461,               0.010173,              0.0097617,              0.0097617
                      3,                0.96792,                0.85419,                 1.1218,                0.78435,                  0.735,                0.79935,                0.56135,                 1.0509,                 1.1667,                 1.2471,               0.009703,               0.009703,               0.009703
                      4,                0.97518,                0.84596,                 1.1308,                0.86379,                0.81678,                0.89933,                0.66444,                0.94852,                0.79806,                 1.1457,               0.009703,               0.009703,               0.009703
                      5,                0.95888,                0.79815,                 1.1171,                0.83107,                0.83647,                0.89647,                0.66486,                0.94816,                0.80873,                 1.1437,               0.009604,               0.009604,               0.009604
                      6,                0.94758,                0.79075,                 1.1128,                 0.8815,                 0.8742,                0.92926,                 0.7145,                0.86549,                0.67651,                 1.0946,               0.009505,               0.009505,               0.009505
                      7,                 0.9391,                0.77863,                 1.1091,                0.87645,                0.85535,                0.91251,                0.68719,                0.90248,                0.73682,                 1.1051,               0.009406,               0.009406,               0.009406
                      8,                0.91595,                0.74155,                  1.098,                0.88532,                 0.8935,                0.93576,                0.72329,                0.84692,                0.64288,                 1.0726,               0.009307,               0.009307,               0.009307
                      9,                0.90957,                0.73262,                 1.0917,                0.88292,                0.88228,                 0.9356,                0.73904,                0.80523,                0.62963,                 1.0453,               0.009208,               0.009208,               0.009208
                     10,                0.88659,                0.71536,                 1.0764,                0.89799,                0.91301,                0.94883,                0.75109,                   0.81,                0.59772,                 1.0487,               0.009109,               0.009109,               0.009109
                     11,                0.88385,                0.70228,                 1.0858,                0.89281,                0.86655,                0.93503,                0.73034,                0.82956,                0.63712,                 1.0616,                0.00901,                0.00901,                0.00901
                     12,                0.87958,                0.69424,                 1.0783,                0.89627,                 0.9145,                0.95185,                0.75116,                0.78413,                0.58578,                 1.0358,               0.008911,               0.008911,               0.008911
                     13,                0.86976,                0.68378,                 1.0737,                 0.9074,                0.90016,                0.95093,                0.74745,                0.80183,                0.58066,                 1.0626,               0.008812,               0.008812,               0.008812
                     14,                0.87428,                0.67886,                 1.0789,                0.90058,                0.91561,                0.94793,                0.75639,                0.78822,                0.57096,                 1.0409,               0.008713,               0.008713,               0.008713
                     15,                0.84413,                0.65375,                 1.0645,                0.89507,                0.90178,                0.94888,                0.75563,                0.78562,                0.57017,                 1.0272,               0.008614,               0.008614,               0.008614
                     16,                0.84631,                0.64942,                 1.0562,                0.91326,                 0.9105,                0.95436,                0.76637,                0.76586,                0.56497,                 1.0142,               0.008515,               0.008515,               0.008515
                     17,                0.83574,                0.63435,                 1.0601,                0.90879,                0.91583,                0.95329,                0.76495,                0.76627,                0.55668,                 1.0284,               0.008416,               0.008416,               0.008416
                     18,                0.83658,                0.63246,                  1.059,                0.90005,                0.92434,                0.95737,                0.77289,                0.76208,                0.54605,                 1.0239,               0.008317,               0.008317,               0.008317
                     19,                0.81991,                0.63064,                 1.0475,                 0.8997,                0.91206,                0.95183,                0.76852,                0.74181,                0.54034,                 1.0089,               0.008218,               0.008218,               0.008218
                     20,                0.81036,                0.61572,                 1.0448,                0.90898,                0.92274,                0.95741,                 0.7841,                0.73059,                 0.5234,                 1.0027,               0.008119,               0.008119,               0.008119
                     21,                0.80584,                0.62116,                 1.0434,                0.92554,                 0.9051,                0.95743,                 0.7734,                0.74832,                0.52444,                   1.01,                0.00802,                0.00802,                0.00802
                     22,                0.79861,                 0.6025,                 1.0439,                0.91162,                0.91413,                0.95404,                0.77774,                0.73748,                0.51804,                 1.0154,               0.007921,               0.007921,               0.007921
                     23,                0.80602,                0.60476,                 1.0437,                0.88706,                0.90285,                 0.9426,                0.76114,                0.76562,                0.54987,                 1.0207,               0.007822,               0.007822,               0.007822
                     24,                0.78697,                0.59049,                 1.0343,                0.92303,                0.92897,                0.96184,                0.77876,                0.74209,                0.51134,                 1.0098,               0.007723,               0.007723,               0.007723
                     25,                0.78967,                0.59478,                 1.0401,                0.91419,                0.92895,                0.96128,                0.79041,                0.72408,                0.49337,                 1.0007,               0.007624,               0.007624,               0.007624
                     26,                0.79477,                0.59044,                 1.0343,                0.90423,                0.92659,                0.96025,                0.79265,                0.71336,                0.49136,                 1.0055,               0.007525,               0.007525,               0.007525
                     27,                0.77645,                0.58272,                 1.0355,                0.93295,                0.90924,                 0.9637,                0.79092,                0.72329,                0.49644,                0.99611,               0.007426,               0.007426,               0.007426
                     28,                0.77575,                0.57708,                 1.0311,                0.91227,                0.91988,                0.96099,                0.79466,                0.70593,                0.48544,                0.99318,               0.007327,               0.007327,               0.007327
